CL_RN,COMERCIO_CON_MAS_CONSUMO,LIM_CREDITO,ANIO_COSECHA,COD_MORA,PAGO_CONTADO,METAL_TJT,COD_RANGO_EDAD
377,RESTAURANTES,80000.0,2015,0,N,1,8.0
377,RESTAURANTES,295840.0,1998,0,N,2,8.0
378,TIENDAS/ALMACENES DEPARTAMENTALES,8320.0,2019,0,N,4,10.0
379,JUGUETERÍAS,78304.0,1998,0,N,5,8.0
380,SERVICIOS FINANCIEROS,88800.0,2000,0,N,4,7.0
380,SERVICIOS FINANCIEROS,129960.0,2015,0,N,1,7.0
381,RESTAURANTES,40000.0,2015,0,N,1,10.0
381,RESTAURANTES,194400.0,2003,0,N,3,10.0
382,RESTAURANTES,65624.0,2019,0,N,2,12.0
383,ARTE,29200.0,2007,0,N,4,9.0
384,ALOJAMIENTO,35528.0,2015,0,S,1,10.0
384,ALOJAMIENTO,102400.0,2012,0,N,3,10.0
385,SUPERMERCADOS,62400.0,2015,0,N,1,11.0
385,SUPERMERCADOS,116800.0,1998,0,N,4,11.0
386,TELECOMUNICACIONES,72944.0,2004,0,N,5,11.0
387,SERVICIOS FINANCIEROS,96200.0,1995,0,N,5,10.0
388,SUPERMERCADOS,92560.0,2003,0,N,4,9.0
389,ARTÍCULOS Y SERVICIOS PERSONALES,48000.0,2014,1,N,1,11.0
390,SERVICIOS FINANCIEROS,240000.0,2000,0,N,3,10.0
391,RESTAURANTES,58000.0,2001,0,S,5,11.0
392,RESTAURANTES,46800.0,2019,0,N,4,10.0
393,ALQUILER DE AUTOS,124800.0,2015,0,N,3,11.0
394,RESTAURANTES,124760.0,2001,0,N,2,10.0
395,CONSTRUCCIÓN,55200.0,2009,0,N,3,12.0
396,JOYERÍAS,123760.0,2003,0,N,3,11.0
397,SUPERMERCADOS,89840.0,1998,0,N,4,12.0
